"","Var1","Freq"
"1341","The Exhibitionist Hotel",804
"60","Apollo Hotel Amsterdam",803
"526","Hilton London Tower Bridge",801
"978","Mercure Hotel Amsterdam City South",801
"962","Megaro Hotel",800
"1372","The May Fair Hotel",800
"1412","The Waldorf Hilton",800
"101","Ayre Hotel Gran V a",797
"1059","NH Collection Amsterdam Barbizon Palace",792
"72","art otel Amsterdam",790
"1160","Petit Palace Boqueria Garden",786
"40","Amba Hotel Charing Cross",785
"63","Arbor City",781
"1058","NH City Centre Amsterdam",778
"1442","Twenty Nevern Square Hotel",776
"1193","Rafayel Hotel Spa",774
"1119","Olivia Plaza Hotel",773
"996","Mercure Paris Centre Tour Eiffel",771
"43","Ambassadors Bloomsbury",768
"1185","Radisson Blu Edwardian Mercer Street",767
"1230","Rubens At The Palace",765
"1226","Royal Passeig de Gracia",764
"950","Malmaison London",763
"853","K West Hotel Spa",762
"1353","The Hoxton Holborn",755
"934","London Marriott Hotel Regents Park",752
"501","Hampshire Hotel Rembrandt Square Amsterdam",748
"157","Best Western Plus Seraphine Hammersmith Hotel",743
"537","Holiday Inn London Camden Lock",740
"926","London City Suites",740
"1220","Rosa Grand Milano Starhotels Collezione",736
"332","Fielding Hotel",733
"1346","The Grand at Trafalgar Square",733
"917","Leonardo Hotel Vienna",728
"1232","Saint Georges Hotel",728
"305","Durrants Hotel",726
"1227","Royal Ramblas",722
"1038","Montcalm Royal London House City of London",715
"93","Austria Trend Hotel Savoyen Vienna",713
"562","Hotel 82 London",712
"1393","The Rembrandt",712
"1158","Pestana Chelsea Bridge Hotel Spa",710
"1427","Thistle Holborn The Kingsley",709
"545","Holiday Inn London West",701
"1233","Saint James Albany Paris Hotel Spa",700
"1481","Washington Mayfair Hotel",699
"1183","Radisson Blu Edwardian Hampshire",697
"414","H tel Concorde Montparnasse",692
"389","Grange Tower Bridge Hotel",690
"3","25hours Hotel beim MuseumsQuartier",689
"856","Kingsway Hall Hotel",683
"289","DoubleTree by Hilton London Ealing",680
"1354","The Hoxton Shoreditch",679
"1371","The Marylebone Hotel",677
"1065","NH Collection Milano President",673
"649","Hotel Espa a Ramblas",670
"835","Innkeeper s Lodge London Greenwich",664
"336","Fleming s Selection Hotel Wien City",658
"516","Hilton London Angel Islington",658
"184","Boutique Hotel Notting Hill",657
"971","Melia White House Hotel",656
"1291","Starhotels Ritz",653
"875","Lancaster London",651
"540","Holiday Inn London Mayfair",647
"1074","NH Milano Touring",646
"1304","Sunotel Central",640
"1138","Park Hotel",636
"986","Mercure London Paddington Hotel",634
"721","Hotel Michelangelo",629
"392","Great Northern Hotel A Tribute Portfolio Hotel London",620
"831","Ilunion Barcelona",620
"156","Best Western Plus Hotel Galles",613
"629","Hotel Dei Cavalieri",607
"99","Axel Hotel Barcelona Urban Spa Adults Only",602
"982","Mercure London Bloomsbury Hotel",602
"648","Hotel Erzherzog Rainer",601
"1379","The Nadler Victoria",601
"100","Ayre Hotel Caspe",595
